simulation,2025,2026,2027,2028,2029
944,0,11,21,1,42
945,2,5,27,0,0
946,0,0,4,3,5
947,8,0,40,4,0
948,0,1,0,0,9
949,5,1,1,0,0
950,7,1,13,0,0
951,0,1,0,0,2
952,0,0,1,0,0
953,1,0,0,0,0
954,32,7,0,0,0
955,5,0,0,5,1
956,1,4,14,0,23
957,0,0,0,0,11
958,0,0,1,0,0
959,3,0,5,0,0
960,0,1,0,0,0
961,0,0,0,5,0
962,0,0,5,0,59
963,0,5,29,4,0
964,0,13,0,0,0
965,18,0,0,0,1
966,0,0,3,0,0
967,31,11,0,21,46
968,0,22,0,0,4
969,2,100,51,27,9
970,4,2,1,25,0
971,0,15,0,10,6
972,0,0,0,0,0
973,8,0,26,1,3
974,0,0,0,0,4
975,5,0,8,30,10
976,2,1,0,0,2
977,1,0,0,21,2
978,0,0,0,28,6
979,1,0,34,9,49
980,0,14,0,2,0
981,3,0,0,0,0
982,0,0,0,0,0
983,27,0,0,1,0
984,0,1,0,0,0
985,0,0,2,0,6
986,0,0,0,0,10
987,0,0,9,0,17
988,0,21,40,7,0
989,3,15,0,0,0
990,14,0,0,7,13
991,3,1,0,0,12
992,1,0,0,0,4
993,0,0,4,1,5
994,66,0,0,0,1
995,8,0,0,0,1
996,9,0,1,45,61
997,33,0,0,0,0
998,0,0,68,4,0
999,0,1,0,0,55
1000,46,6,2,0,23
1001,3,7,0,0,27
1002,0,0,0,0,2
1003,2,0,5,0,1
1004,1,3,0,27,0
1005,12,1,0,0,0
1006,0,8,0,0,0
1007,0,0,21,0,10
1008,0,0,4,0,0
1009,0,5,11,8,0
1010,10,0,0,5,0
1011,0,3,0,1,0
1012,0,19,0,0,0
1013,3,0,0,9,2
1014,2,1,0,0,18
1015,2,0,0,0,3
1016,0,18,3,0,0
1017,0,1,1,0,0
1018,0,5,0,15,94
1019,0,1,0,0,1
1020,0,5,2,0,1
1021,0,7,2,1,31
1022,39,3,0,0,0
1023,0,0,5,3,2
1024,0,0,0,14,2
1025,0,6,0,1,0
1026,3,15,0,0,0
1027,0,25,2,2,2
1028,0,0,21,0,0
1029,1,0,0,5,0
1030,0,0,0,0,0
1031,1,8,0,0,1
1032,7,22,1,8,0
1033,4,0,0,0,0
1034,19,0,9,0,0
1035,0,0,8,0,0
1036,12,7,1,12,0
1037,0,0,0,0,5
1038,0,1,17,2,2
1039,0,0,0,6,34
1040,0,0,0,0,31
1041,0,48,13,12,29
1042,0,0,0,1,0
1043,5,1,8,0,4
1044,71,10,19,6,1
1045,0,0,19,0,0
1046,2,8,0,0,11
1047,3,0,0,0,3
1048,0,0,0,1,0
1049,3,0,1,1,0
1050,66,0,10,8,3
1051,1,0,2,0,0
1052,3,7,2,7,21
1053,43,2,1,0,0
1054,0,0,0,5,110
1055,0,0,0,0,0
1056,0,3,0,0,22
1057,1,0,13,4,0
1058,0,5,0,1,0
1059,0,3,0,0,14
1060,21,0,4,0,6
1061,2,0,0,2,1
1062,4,0,0,0,0
1063,0,0,1,0,1
1064,0,7,24,6,0
1065,0,1,2,0,0
1066,0,25,0,6,43
1067,43,0,0,0,0
1068,3,0,0,1,0
1069,0,0,0,3,0
1070,0,0,7,127,3
1071,2,0,16,1,9
1072,0,0,1,0,0
1073,1,0,28,6,0
1074,0,35,12,0,28
1075,0,0,4,1,0
1076,4,0,0,10,0
1077,0,0,0,3,0
1078,0,48,0,5,0
1079,0,2,0,0,0
1080,0,0,21,0,0
1081,14,0,10,0,0
1082,0,0,0,0,10
1083,0,3,0,0,1
1084,0,0,5,0,1
1085,0,0,2,0,0
1086,16,0,0,0,1
1087,1,106,0,0,0
1088,3,0,1,2,0
1089,0,9,0,0,5
1090,0,65,6,1,0
1091,2,0,2,18,11
1092,10,3,12,0,0
1093,1,1,0,6,0
1094,1,2,8,19,24
1095,0,15,0,0,1
1096,0,1,1,39,0
1097,57,0,0,11,2
1098,0,11,0,0,0
1099,31,3,2,15,1
1100,21,0,2,4,3
1101,1,0,1,5,0
1102,0,5,0,3,32
1103,0,0,3,4,7
1104,0,0,1,1,21
1105,0,0,0,0,3
1106,0,0,2,1,1
1107,5,6,12,0,0
1108,0,0,1,4,4
1109,0,3,23,0,0
1110,0,0,8,15,1
1111,0,0,39,0,0
1112,0,54,0,0,0
1113,15,16,0,0,0
1114,0,1,23,0,0
1115,0,5,0,0,56
1116,0,0,0,0,23
1117,1,0,12,0,0
1118,1,0,1,0,1
1119,1,32,18,9,0
1120,39,101,5,4,18
1121,0,23,24,0,0
1122,1,12,0,0,1
1123,20,24,0,0,4
1124,0,0,5,1,1
1125,8,1,0,78,4
1126,0,1,2,2,0
1127,0,5,11,0,18
1128,0,3,0,0,0
1129,2,0,0,0,0
1130,14,0,0,0,2
1131,14,9,0,14,8
1132,0,0,13,3,1
1133,0,2,0,30,0
1134,20,8,0,0,0
1135,0,0,0,1,0
1136,9,0,4,0,1
1137,0,0,15,2,66
1138,0,24,24,0,48
1139,0,26,0,3,0
1140,49,0,16,0,35
1141,0,0,0,9,0
1142,5,0,6,0,0
1143,5,2,0,3,0
1144,183,36,64,11,0
1145,10,0,2,0,0
1146,0,0,0,11,0
1147,1,0,0,0,3
