origin_year,date,model,observed,predicted,lower_80,upper_80,lower_95,upper_95
2022,2022-06-01,seasonal_naive,31.72642497,31.26809163,29.56586792,32.97031534,28.66476512,33.87141814
2022,2022-03-01,monthly_climatology,33.30074761,31.79482496,30.57950374,33.01014618,29.93615155,33.65349837
2022,2022-04-01,monthly_climatology,34.05309177,32.90667157,31.69135035,34.12199279,31.04799816,34.76534498
2022,2022-05-01,monthly_climatology,32.3120379,32.45554103,31.24021982,33.67086225,30.59686763,34.31421444
2022,2022-06-01,monthly_climatology,31.72642497,31.7127516,30.49743038,32.92807282,29.85407819,33.57142501
2022,2022-03-01,climatology_linear_trend,33.30074761,32.23177795,31.04665309,33.41690282,30.41928588,34.04427002
2022,2022-04-01,climatology_linear_trend,34.05309177,33.34365095,32.15852609,34.52877582,31.53115888,35.15614302
2022,2022-05-01,climatology_linear_trend,32.3120379,32.89249989,31.70737503,34.07762476,31.08000782,34.70499196
2022,2022-06-01,climatology_linear_trend,31.72642497,32.14973685,30.96461199,33.33486171,30.33724478,33.96222892
2022,2022-03-01,sarimax,33.30074761,33.15296135,30.87663719,35.42928551,29.67162397,36.63429873
2022,2022-04-01,sarimax,34.05309177,35.02601618,32.74969202,37.30234034,31.5446788,38.50735356
2022,2022-05-01,sarimax,32.3120379,33.07740041,30.80107625,35.35372457,29.59606303,36.55873779
2022,2022-06-01,sarimax,31.72642497,31.32006564,29.04374148,33.5963898,27.83872826,34.80140302
2022,2022-03-01,ets,33.30074761,32.23174806,31.05855422,33.40494189,30.43750293,34.02599319
2022,2022-04-01,ets,34.05309177,33.34398615,32.17079232,34.51717998,31.54974102,35.13823128
2022,2022-05-01,ets,32.3120379,32.8926571,31.71946327,34.06585094,31.09841197,34.68690223
2022,2022-06-01,ets,31.72642497,32.14996552,30.97677169,33.32315935,30.35572039,33.94421065
2023,2023-03-01,seasonal_naive,31.28494123,33.30074761,31.60501159,34.99648363,30.70734317,35.89415206
2023,2023-04-01,seasonal_naive,35.73375803,34.05309177,32.35735575,35.74882779,31.45968732,36.64649621
2023,2023-05-01,seasonal_naive,34.57494145,32.3120379,30.61630188,34.00777392,29.71863346,34.90544235
2023,2023-06-01,seasonal_naive,33.0117581,31.72642497,30.03068895,33.42216099,29.13302052,34.31982941
2023,2023-03-01,monthly_climatology,31.28494123,31.82435286,30.60282288,33.04588284,29.95618397,33.69252175
2023,2023-04-01,monthly_climatology,35.73375803,32.92915039,31.70762041,34.15068038,31.0609815,34.79731929
2023,2023-05-01,monthly_climatology,34.57494145,32.45272725,31.23119727,33.67425723,30.58455836,34.32089614
2023,2023-06-01,monthly_climatology,33.0117581,31.7130197,30.49148972,32.93454968,29.84485081,33.58118859
2023,2023-03-01,climatology_linear_trend,31.28494123,32.28345688,31.09659737,33.47031639,30.4683119,34.09860186
2023,2023-04-01,climatology_linear_trend,35.73375803,33.38828162,32.20142211,34.57514113,31.57313663,35.2034266
2023,2023-05-01,climatology_linear_trend,34.57494145,32.91183732,31.72497781,34.09869683,31.09669233,34.7269823
2023,2023-06-01,climatology_linear_trend,33.0117581,32.17215697,30.98529746,33.35901648,30.35701199,33.98730195
2023,2023-03-01,sarimax,31.28494123,33.00248257,30.76537553,35.2395896,29.58112261,36.42384252
2023,2023-04-01,sarimax,35.73375803,33.63916107,31.40205403,35.8762681,30.21780111,37.06052102
2023,2023-05-01,sarimax,34.57494145,32.11356157,29.87645454,34.3506686,28.69220162,35.53492153
2023,2023-06-01,sarimax,33.0117581,31.59940754,29.36230051,33.83651457,28.17804758,35.0207675
2023,2023-03-01,ets,31.28494123,32.28351728,31.10837048,33.45866408,30.48628534,34.08074922
2023,2023-04-01,ets,35.73375803,33.38830651,32.21315971,34.56345331,31.59107457,35.18553845
2023,2023-05-01,ets,34.57494145,32.91188752,31.73674071,34.08703432,31.11465557,34.70911946
2023,2023-06-01,ets,33.0117581,32.17218,30.9970332,33.3473268,30.37494806,33.96941194
